% Data classified in a strict linear manner

@RELATION StrictClustered

@ATTRIBUTE xtst NUMERIC
@ATTRIBUTE ytsr NUMERIC
@ATTRIBUTE segment {HI,LO}

@DATA
8662,6222,HI
8713,6289,HI
5910,4286,HI
7947,1907,LO
7240,1761,LO
6541,1613,LO
9179,2294,LO
1316,333,LO
3966,1017,LO
9131,2372,LO
6498,1710,LO
677,180,LO
6004,1619,LO
6600,1802,LO
1008,279,LO
6279,1756,LO
9791,2770,LO
9482,2714,LO
3661,1060,LO
3947,1156,LO
8256,2445,LO
6226,1864,LO
5997,3898,HI
4447,2892,HI
1856,1213,HI
3040,1998,HI
3036,2005,HI
1354,899,HI
5066,3381,HI
783,525,HI
5592,3770,HI
737,499,HI
9314,6342,HI
2543,1740,HI
1628,1120,HI
4296,2969,HI
2240,1556,HI
7970,5563,HI
756,530,HI
402,283,HI
7388,5232,HI
9076,6458,HI
6970,4983,HI
2310,1659,HI
3818,2756,HI
9077,6582,HI
4462,1071,LO
6609,1608,LO
2453,605,LO
364,91,LO
858,217,LO
7066,1812,LO
6378,1657,LO
4628,1218,LO
2409,642,LO
971,262,LO
1856,507,LO
9239,2553,LO
6364,1779,LO
7320,2071,LO
9381,2685,LO
6786,1965,LO
6211,1819,LO
8555,2533,LO
8767,2625,LO
3375,2194,HI
2378,1547,HI
5875,3841,HI
6005,3946,HI
3924,2592,HI
3218,2137,HI
4683,3125,HI
2174,1458,HI
4960,3344,HI
8856,6000,HI
8668,5902,HI
9272,6345,HI
6189,4256,HI
8690,6006,HI
4445,3087,HI
3774,2634,HI
1992,1397,HI
6876,4846,HI
4052,2869,HI
2793,1987,HI
2384,1704,HI
6789,4877,HI
805,581,HI
1415,1026,HI
999,240,LO
8214,1998,LO
3999,986,LO
3337,834,LO
7307,1850,LO
1717,440,LO
7908,2054,LO
9653,2540,LO
4120,1098,LO
7625,2056,LO
8335,2275,LO
71,20,LO
3531,987,LO
1509,427,LO
1287,368,LO
7988,2313,LO
6342,1857,LO
528,156,LO
7601,2276,LO
3920,2548,HI
1601,1041,HI
9209,6020,HI
198,130,HI
911,602,HI
7558,5018,HI
2996,1999,HI
2659,1783,HI
8795,5929,HI
5975,4048,HI
9080,6183,HI
747,511,HI
8476,5829,HI
3909,2702,HI
596,414,HI
9622,6716,HI
4091,2869,HI
2414,1701,HI
4512,3195,HI
2073,1475,HI
4523,3234,HI
9618,6909,HI
9813,7082,HI
6445,4674,HI
271,65,LO
1012,246,LO
4142,1021,LO
858,214,LO
6383,1616,LO
2089,536,LO
9394,2441,LO
7572,1992,LO
4105,1094,LO
5290,1427,LO
6031,1646,LO
150,41,LO
3562,996,LO
422,119,LO
6792,1944,LO
5469,1583,LO
5133,1503,LO
1660,492,LO
6444,1929,LO
8102,5266,HI
4601,2992,HI
4163,2722,HI
2883,1895,HI
6754,4461,HI
2040,1354,HI
9582,6394,HI
5603,3758,HI
7636,5148,HI
1502,1018,HI
7289,4963,HI
6540,4476,HI
5420,3728,HI
3930,2716,HI
9570,6647,HI
2404,1678,HI
2840,1992,HI
2262,1594,HI
8081,5722,HI
7164,5097,HI
5514,3942,HI
6457,4638,HI
5191,3747,HI
7510,5446,HI
5762,1383,LO
7678,1868,LO
606,149,LO
7436,1858,LO
5227,1323,LO
5048,1295,LO
6802,1767,LO
489,129,LO
9356,2492,LO
6572,1772,LO
4937,1348,LO
4919,1359,LO
7635,2135,LO
7298,2065,LO
4193,1200,LO
5959,1725,LO
1081,317,LO
3375,999,LO
4242,1270,LO
4289,2788,HI
7486,4868,HI
8975,5867,HI
5509,3620,HI
4993,3298,HI
9153,6077,HI
6317,4216,HI
7835,5255,HI
4194,2827,HI
4965,3364,HI
6072,4135,HI
3110,2128,HI
9423,6481,HI
6521,4507,HI
4114,2857,HI
1062,741,HI
351,246,HI
7583,5344,HI
6187,4381,HI
9002,6405,HI
445,318,HI
6475,4651,HI
928,670,HI
8083,5861,HI
5333,1280,LO
9855,2398,LO
8913,2198,LO
6450,1612,LO
984,249,LO
9636,2472,LO
9834,2555,LO
6969,1834,LO
1454,387,LO
8413,2269,LO
360,98,LO
1512,418,LO
5141,1437,LO
2374,672,LO
6874,1967,LO
5288,1531,LO
1357,397,LO
2791,826,LO
5402,1617,LO
5483,3564,HI
5302,3448,HI
6396,4181,HI
9533,6265,HI
4269,2820,HI
2769,1838,HI
2634,1758,HI
3745,2512,HI
8417,5674,HI
2296,1556,HI
5680,3868,HI
8561,5859,HI
6847,4709,HI
6067,4193,HI
7791,5411,HI
4251,2967,HI
1888,1324,HI
5343,3765,HI
422,299,HI
9466,6735,HI
7087,5067,HI
7341,5273,HI
934,674,HI
2837,2057,HI
8842,2122,LO
7405,1802,LO
533,131,LO
440,110,LO
4526,1146,LO
3669,941,LO
4431,1151,LO
8268,2175,LO
2639,703,LO
8002,2158,LO
3080,841,LO
4677,1292,LO
5818,1627,LO
9558,2704,LO
1302,373,LO
4931,1428,LO
883,259,LO
1745,517,LO
3349,1003,LO
8668,5634,HI
1164,757,HI
2266,1481,HI
1569,1031,HI
4033,2664,HI
2471,1641,HI
5441,3631,HI
9439,6331,HI
2866,1932,HI
2802,1898,HI
6243,4251,HI
1619,1108,HI
5096,3505,HI
4543,3140,HI
502,349,HI
5834,4072,HI
7270,5099,HI
5412,3814,HI
5151,3648,HI
165,117,HI
7384,5279,HI
1414,1016,HI
8105,5850,HI
323,234,HI
1454,349,LO
1705,415,LO
8059,1987,LO
525,131,LO
5393,1366,LO
7491,1921,LO
5225,1357,LO
9244,2432,LO
7912,2108,LO
1836,495,LO
5611,1532,LO
340,94,LO
9234,2582,LO
5788,1637,LO
8513,2436,LO
8026,2324,LO
2533,742,LO
3950,1170,LO
9304,2786,LO
6714,4364,HI
301,196,HI
6621,4328,HI
8604,5654,HI
8251,5450,HI
3785,2513,HI
5378,3589,HI
1590,1066,HI
1958,1320,HI
265,180,HI
7597,5173,HI
6900,4722,HI
8342,5737,HI
5196,3591,HI
703,488,HI
9121,6366,HI
1085,761,HI
8738,6158,HI
5568,3943,HI
2388,1699,HI
2368,1693,HI
6750,4849,HI
3942,2845,HI
6755,4898,HI
4278,1027,LO
2283,555,LO
8156,2011,LO
4116,1029,LO
7662,1940,LO
3620,929,LO
4143,1076,LO
3649,960,LO
9627,2565,LO
2390,645,LO
6068,1657,LO
4485,1239,LO
332,93,LO
6554,1854,LO
756,216,LO
2151,623,LO
3116,912,LO
8778,2599,LO
8341,2497,LO
7488,4867,HI
4612,2999,HI
6556,4286,HI
8274,5437,HI
8019,5297,HI
6254,4152,HI
9187,6131,HI
1140,765,HI
531,358,HI
6744,4569,HI
6920,4712,HI
9342,6393,HI
3069,2111,HI
6566,4538,HI
6800,4723,HI
9333,6514,HI
7542,5290,HI
5809,4094,HI
7993,5660,HI
2584,1839,HI
834,596,HI
5077,3647,HI
111,80,HI
4250,3082,HI
5103,1225,LO
3341,813,LO
1924,474,LO
6993,1748,LO
9036,2288,LO
2530,649,LO
1026,267,LO
7895,2077,LO
1563,416,LO
146,39,LO
870,238,LO
7168,1981,LO
7939,2220,LO
1051,297,LO
1173,336,LO
5916,1713,LO
6948,2034,LO
2543,753,LO
7126,2134,LO
1612,1048,HI
154,100,HI
4638,3032,HI
5641,3707,HI
9413,6218,HI
3784,2512,HI
5570,3717,HI
1690,1134,HI
7353,4957,HI
3050,2066,HI
7435,5063,HI
3914,2679,HI
8440,5805,HI
1026,709,HI
6234,4330,HI
2706,1889,HI
5765,4043,HI
2284,1610,HI
8529,6040,HI
8452,6014,HI
6083,4349,HI
657,472,HI
9555,6896,HI
34,25,HI
1328,319,LO
9772,2378,LO
7154,1764,LO
3978,994,LO
8480,2147,LO
2959,759,LO
1093,284,LO
7277,1915,LO
2758,735,LO
8203,2212,LO
308,84,LO
6935,1916,LO
3520,984,LO
2422,685,LO
6708,1920,LO
3465,1003,LO
8666,2537,LO
5582,1653,LO
2943,881,LO
7487,4867,HI
2697,1754,HI
7210,4713,HI
6528,4290,HI
4535,2996,HI
9616,6384,HI
2546,1699,HI
2821,1892,HI
6191,4174,HI
3157,2139,HI
1100,749,HI
8559,5857,HI
1091,750,HI
7572,5233,HI
564,392,HI
288,201,HI
8285,5811,HI
2493,1757,HI
7006,4961,HI
4991,3551,HI
99,71,HI
5891,4232,HI
4714,3402,HI
5490,3981,HI
8818,2116,LO
1069,260,LO
6895,1700,LO
9514,2378,LO
2425,614,LO
1122,288,LO
9385,2438,LO
3478,915,LO
4627,1233,LO
649,175,LO
7050,1925,LO
8253,2280,LO
3386,947,LO
2118,599,LO
7988,2286,LO
6652,1926,LO
6257,1832,LO
2231,661,LO
5354,1603,LO
6497,4223,HI
7081,4605,HI
216,141,HI
5589,3673,HI
9171,6058,HI
4463,2963,HI
2561,1709,HI
6337,4250,HI
9354,6306,HI
6134,4156,HI
3272,2228,HI
4534,3103,HI
6248,4297,HI
7862,5434,HI
9687,6728,HI
1893,1321,HI
1249,876,HI
41,29,HI
5249,3717,HI
968,689,HI
7425,5308,HI
6158,4424,HI
3383,2442,HI
3083,2236,HI
7713,1851,LO
9435,2296,LO
7738,1908,LO
7253,1813,LO
8547,2164,LO
8273,2122,LO
5930,1541,LO
2304,606,LO
8830,2352,LO
8945,2412,LO
3957,1080,LO
759,210,LO
3663,1024,LO
5515,1560,LO
5230,1497,LO
6239,1806,LO
2208,647,LO
3819,1131,LO
3457,1035,LO
6589,4283,HI
1578,1026,HI
8047,5261,HI
9385,6167,HI
9593,6337,HI
960,637,HI
5267,3515,HI
1207,810,HI
2914,1964,HI
8125,5505,HI
2506,1706,HI
7861,5380,HI
3946,2714,HI
6042,4176,HI
9200,6390,HI
4514,3151,HI
5032,3529,HI
556,392,HI
5534,3919,HI
8454,6015,HI
7045,5037,HI
3904,2804,HI
870,628,HI
5043,3657,HI
6400,1536,LO
4841,1178,LO
7190,1773,LO
298,74,LO
5021,1271,LO
1363,350,LO
9319,2421,LO
1598,420,LO
3472,925,LO
1795,484,LO
1428,390,LO
8797,2431,LO
7859,2197,LO
6617,1872,LO
1925,551,LO
154,45,LO
8454,2475,LO
2361,699,LO
5132,1537,LO
7026,4567,HI
8,5,HI
4677,3058,HI
7927,5209,HI
805,532,HI
5051,3354,HI
904,603,HI
7122,4777,HI
4476,3017,HI
980,664,HI
128,87,HI
5929,4057,HI
5599,3851,HI
5295,3660,HI
6862,4766,HI
8030,5604,HI
7959,5582,HI
5913,4167,HI
365,258,HI
412,293,HI
4126,2950,HI
5259,3778,HI
5998,4329,HI
1620,1175,HI
8319,1997,LO
951,231,LO
830,205,LO
9456,2363,LO
1950,494,LO
4596,1179,LO
300,78,LO
853,224,LO
6771,1804,LO
6104,1646,LO
4976,1358,LO
4786,1322,LO
7825,2188,LO
5953,1684,LO
3466,992,LO
8738,2530,LO
595,174,LO
6596,1953,LO
9509,2847,LO
2131,1385,HI
1523,990,HI
624,408,HI
3941,2590,HI
2022,1336,HI
5616,3729,HI
3055,2039,HI
7501,5031,HI
8063,5436,HI
9126,6183,HI
3294,2243,HI
8967,6136,HI
3411,2346,HI
879,608,HI
6692,4648,HI
4344,3032,HI
9232,6475,HI
2656,1872,HI
3841,2720,HI
8337,5932,HI
4624,3306,HI
8196,5888,HI
5476,3952,HI
4804,3484,HI
1705,409,LO
6170,1501,LO
1242,306,LO
5022,1255,LO
367,93,LO
8663,2222,LO
1252,325,LO
3365,885,LO
6922,1844,LO
6003,1619,LO
1697,463,LO
2459,679,LO
3787,1059,LO
481,136,LO
180,52,LO
6032,1746,LO
394,115,LO
6363,1884,LO
933,279,LO
4469,2905,HI
1154,750,HI
2707,1770,HI
3414,2243,HI
7019,4636,HI
5973,3966,HI
5629,3756,HI
3886,2606,HI
1638,1104,HI
6069,4112,HI
5289,3601,HI
3307,2263,HI
7527,5177,HI
5297,3661,HI
730,507,HI
9710,6777,HI
5731,4019,HI
1113,784,HI
8684,6149,HI
8121,5778,HI
3339,2387,HI
6397,4595,HI
5928,4278,HI
6280,4554,HI
6719,1613,LO
7778,1892,LO
7745,1910,LO
4173,1043,LO
7496,1898,LO
5244,1345,LO
2574,669,LO
4833,1272,LO
981,261,LO
4263,1150,LO
4205,1148,LO
5560,1536,LO
2019,565,LO
2248,636,LO
7495,2145,LO
5223,1512,LO
4556,1334,LO
892,264,LO
7004,2097,LO
7521,4889,HI
1493,971,HI
5967,3901,HI
179,118,HI
595,393,HI
4086,2713,HI
186,124,HI
5075,3404,HI
728,491,HI
8414,5701,HI
9159,6237,HI
1950,1334,HI
6677,4592,HI
3643,2518,HI
4971,3453,HI
6132,4280,HI
6712,4707,HI
4126,2908,HI
5475,3877,HI
944,672,HI
3052,2182,HI
4032,2896,HI
5877,4242,HI
9185,6660,HI
1332,320,LO
1227,299,LO
2849,703,LO
1291,323,LO
9143,2315,LO
3991,1024,LO
188,49,LO
1426,375,LO
7546,2010,LO
2383,643,LO
1215,332,LO
1900,525,LO
2864,801,LO
3583,1014,LO
7128,2040,LO
2984,864,LO
1511,442,LO
7181,2126,LO
4084,1223,LO
9834,6392,HI
4368,2841,HI
3749,2451,HI
1011,664,HI
8877,5864,HI
7159,4753,HI
4756,3174,HI
876,588,HI
7274,4904,HI
9663,6547,HI
8575,5839,HI
2956,2023,HI
1905,1310,HI
6012,4155,HI
1234,857,HI
4421,3086,HI
